Data Source,Time,Value
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 18:01:04,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 18:01:49,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 18:01:52,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 18:41:07,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 19:01:49,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 19:01:52,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 20:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 20:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 21:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 21:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 22:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 22:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 23:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-05 23:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 00:01:49,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 00:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 01:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 01:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 02:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 02:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 03:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 03:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 04:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 04:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 05:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 05:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 06:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 06:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 07:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 07:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 08:01:50,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 08:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 08:40:49,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 09:01:50,0.0299999993294477
